"filename", "language", "YAML", "Dart", "C++", "Markdown", "Properties", "Groovy", "XML", "JSON", "HTML", "Swift", "comment", "blank", "total"
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_sellers/edit_sellers.dart", "Dart", 0, 270, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 285
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_stock_to_vendors/add_stock_details.dart", "Dart", 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 43, 8, 187
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_stock_to_vendors/add_stock_to_vendors.dart", "Dart", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 25, 11, 218
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/add_stock_to_vendors/controllers/controllers.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/assign_routes/assign_routes.dart", "Dart", 0, 190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 195
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/assign_routes/controllers/controllers.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/dashboard/dashboard.dart", "Dart", 0, 681, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32, 716
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/delivery_details.dart", "Dart", 0, 193, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 203
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/delivery_historial.dart", "Dart", 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 155
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_historial/history_by_date.dart", "Dart", 0, 351, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16, 371
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_status/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_status/delivery_status.dart", "Dart", 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 376
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/delivery_status/delivery_status_info.dart", "Dart", 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 269
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/guides_sent/controllers/controllers.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/guides_sent/guides_sent.dart", "Dart", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 84
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/guides_sent/table_orders_guides_sent.dart", "Dart", 0, 520, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 543
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/income_and_expenses/controllers/controllers.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/income_and_expenses/income_and_expenses.dart", "Dart", 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 249
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/income_and_expenses/income_expense_details.dart", "Dart", 0, 279, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 290
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/layout/layout.dart", "Dart", 0, 208, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 219
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistic_balance/controllers/controllers.dart", "Dart", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/matiasfonseca/Desktop/EasyEcommerce/frontend/lib/ui/logistic/logistic_balance/logistic_balance.dart", "Dart", 0, 416, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 435
